Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Pig-tailed macaque gene stable ID,Pig-tailed macaque gene name,Last common ancestor with Pig-tailed macaque,Pig-tailed macaque homology type,%id. target Pig-tailed macaque gene identical to query gene,%id. query gene identical to target Pig-tailed macaque gene,Pig-tailed macaque Gene-order conservation score,Pig-tailed macaque Whole-genome alignment coverage,"Pig-tailed macaque orthology confidence [0 low, 1 high]"
ENSG00000004838,ENSG00000004838.14,ENST00000490675,ENST00000490675.5,ENSMNEG00000041380,ZMYND10,Catarrhini,ortholog_one2one,98.4091,98.4091,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000231749,ENST00000231749.8,ENSMNEG00000041380,ZMYND10,Catarrhini,ortholog_one2one,98.4091,98.4091,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000360165,ENST00000360165.7,ENSMNEG00000041380,ZMYND10,Catarrhini,ortholog_one2one,98.4091,98.4091,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000475688,ENST00000475688.1,ENSMNEG00000041380,ZMYND10,Catarrhini,ortholog_one2one,98.4091,98.4091,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000442887,ENST00000442887.1,ENSMNEG00000041380,ZMYND10,Catarrhini,ortholog_one2one,98.4091,98.4091,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000443080,ENST00000443080.5,ENSMNEG00000041380,ZMYND10,Catarrhini,ortholog_one2one,98.4091,98.4091,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000478269,ENST00000478269.5,ENSMNEG00000041380,ZMYND10,Catarrhini,ortholog_one2one,98.4091,98.4091,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000431869,ENST00000431869.1,ENSMNEG00000041380,ZMYND10,Catarrhini,ortholog_one2one,98.4091,98.4091,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000468182,ENST00000468182.1,ENSMNEG00000041380,ZMYND10,Catarrhini,ortholog_one2one,98.4091,98.4091,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579828,ENST00000579828.5,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000262442,ENST00000262442.9,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579406,ENST00000579406.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000454412,ENST00000454412.6,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579602,ENST00000579602.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579813,ENST00000579813.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000585197,ENST00000585197.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000583192,ENST00000583192.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000584663,ENST00000584663.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000578834,ENST00000578834.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579703,ENST00000579703.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000580255,ENST00000580255.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000608377,ENST00000608377.5,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000396001,ENST00000396001.6,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000581682,ENST00000581682.1,ENSMNEG00000037143,DNAH9,Catarrhini,ortholog_one2one,96.4556,96.4556,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000262304,ENST00000262304.9,ENSMNEG00000043046,PKD1,Catarrhini,ortholog_one2one,94.0042,94.0042,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000423118,ENST00000423118.5,ENSMNEG00000043046,PKD1,Catarrhini,ortholog_one2one,94.0042,94.0042,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000472577,ENST00000472577.1,ENSMNEG00000043046,PKD1,Catarrhini,ortholog_one2one,94.0042,94.0042,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000564313,ENST00000564313.1,ENSMNEG00000043046,PKD1,Catarrhini,ortholog_one2one,94.0042,94.0042,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000561668,ENST00000561668.5,ENSMNEG00000043046,PKD1,Catarrhini,ortholog_one2one,94.0042,94.0042,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000487932,ENST00000487932.5,ENSMNEG00000043046,PKD1,Catarrhini,ortholog_one2one,94.0042,94.0042,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000485120,ENST00000485120.1,ENSMNEG00000043046,PKD1,Catarrhini,ortholog_one2one,94.0042,94.0042,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000562425,ENST00000562425.1,ENSMNEG00000043046,PKD1,Catarrhini,ortholog_one2one,94.0042,94.0042,100,100,1
