Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Orangutan gene stable ID,Orangutan gene name,Last common ancestor with Orangutan,Orangutan homology type,%id. target Orangutan gene identical to query gene,%id. query gene identical to target Orangutan gene,Orangutan Gene-order conservation score,Orangutan Whole-genome alignment coverage,"Orangutan orthology confidence [0 low, 1 high]"
ENSG00000004838,ENSG00000004838.14,ENST00000490675,ENST00000490675.5,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000231749,ENST00000231749.8,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000360165,ENST00000360165.7,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000475688,ENST00000475688.1,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000442887,ENST00000442887.1,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000443080,ENST00000443080.5,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000478269,ENST00000478269.5,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000431869,ENST00000431869.1,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000468182,ENST00000468182.1,ENSPPYG00000013843,ZMYND10,Hominidae,ortholog_one2one,94.7727,87.9747,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579828,ENST00000579828.5,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000262442,ENST00000262442.9,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579406,ENST00000579406.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000454412,ENST00000454412.6,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579602,ENST00000579602.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579813,ENST00000579813.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000585197,ENST00000585197.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000583192,ENST00000583192.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000584663,ENST00000584663.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000578834,ENST00000578834.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579703,ENST00000579703.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000580255,ENST00000580255.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000608377,ENST00000608377.5,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000396001,ENST00000396001.6,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000581682,ENST00000581682.1,ENSPPYG00000007991,DNAH9,Hominidae,ortholog_one2one,90.4592,97.689,100,100,1
